 CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
 106.57%             352.2MiB / 1.944GiB   17.69%              160MB / 213MB       0B / 0B             233
 103.45%             352.1MiB / 1.944GiB   17.69%              161MB / 215MB       0B / 0B             233
 103.45%             352.1MiB / 1.944GiB   17.69%              161MB / 215MB       0B / 0B             233
 102.38%             352.3MiB / 1.944GiB   17.70%              163MB / 218MB       0B / 0B             233
 102.38%             352.3MiB / 1.944GiB   17.70%              163MB / 218MB       0B / 0B             233
 102.85%             347.6MiB / 1.944GiB   17.47%              165MB / 220MB       0B / 0B             233
 102.85%             347.6MiB / 1.944GiB   17.47%              165MB / 220MB       0B / 0B             233
 103.90%             347.8MiB / 1.944GiB   17.48%              167MB / 223MB       0B / 0B             233
 103.90%             347.8MiB / 1.944GiB   17.48%              167MB / 223MB       0B / 0B             233
 103.57%             348.4MiB / 1.944GiB   17.50%              169MB / 225MB       0B / 0B             233
 103.57%             348.4MiB / 1.944GiB   17.50%              169MB / 225MB       0B / 0B             233
 103.39%             348.8MiB / 1.944GiB   17.52%              171MB / 228MB       0B / 0B             233
 103.39%             348.8MiB / 1.944GiB   17.52%              171MB / 228MB       0B / 0B             233
 102.27%             349.2MiB / 1.944GiB   17.54%              173MB / 230MB       0B / 0B             233
 102.27%             349.2MiB / 1.944GiB   17.54%              173MB / 230MB       0B / 0B             233
 102.82%             349.2MiB / 1.944GiB   17.54%              175MB / 233MB       0B / 0B             233
 102.82%             349.2MiB / 1.944GiB   17.54%              175MB / 233MB       0B / 0B             233
 101.81%             349.4MiB / 1.944GiB   17.55%              177MB / 235MB       0B / 0B             233
 101.81%             349.4MiB / 1.944GiB   17.55%              177MB / 235MB       0B / 0B             233
 103.71%             349.9MiB / 1.944GiB   17.58%              179MB / 238MB       0B / 0B             233
 103.71%             349.9MiB / 1.944GiB   17.58%              179MB / 238MB       0B / 0B             233
 102.09%             350.2MiB / 1.944GiB   17.59%              181MB / 240MB       0B / 0B             233
 102.09%             350.2MiB / 1.944GiB   17.59%              181MB / 240MB       0B / 0B             233
 103.85%             351.5MiB / 1.944GiB   17.66%              182MB / 243MB       0B / 0B             233
 103.85%             351.5MiB / 1.944GiB   17.66%              182MB / 243MB       0B / 0B             233
 103.06%             351.7MiB / 1.944GiB   17.67%              184MB / 245MB       0B / 0B             233
 103.06%             351.7MiB / 1.944GiB   17.67%              184MB / 245MB       0B / 0B             233
 102.80%             352.2MiB / 1.944GiB   17.69%              186MB / 248MB       0B / 0B             233
 102.80%             352.2MiB / 1.944GiB   17.69%              186MB / 248MB       0B / 0B             233
 103.34%             352MiB / 1.944GiB   17.68%              188MB / 250MB       0B / 0B             233
 103.34%             352MiB / 1.944GiB   17.68%              188MB / 250MB       0B / 0B             233
 107.67%             352.3MiB / 1.944GiB   17.70%              190MB / 252MB       0B / 0B             233
 107.67%             352.3MiB / 1.944GiB   17.70%              190MB / 252MB       0B / 0B             233
 106.35%             352.6MiB / 1.944GiB   17.72%              191MB / 255MB       0B / 0B             233
 106.35%             352.6MiB / 1.944GiB   17.72%              191MB / 255MB       0B / 0B             233
 101.56%             353.2MiB / 1.944GiB   17.74%              193MB / 257MB       0B / 0B             233
 101.56%             353.2MiB / 1.944GiB   17.74%              193MB / 257MB       0B / 0B             233
 101.89%             353.4MiB / 1.944GiB   17.75%              195MB / 259MB       0B / 0B             233
 101.89%             353.4MiB / 1.944GiB   17.75%              195MB / 259MB       0B / 0B             233
 112.78%             353.7MiB / 1.944GiB   17.77%              197MB / 262MB       0B / 0B             233
 112.78%             353.7MiB / 1.944GiB   17.77%              197MB / 262MB       0B / 0B             233
 103.18%             353.9MiB / 1.944GiB   17.78%              198MB / 264MB       0B / 0B             233
 103.18%             353.9MiB / 1.944GiB   17.78%              198MB / 264MB       0B / 0B             233
 103.48%             354.3MiB / 1.944GiB   17.80%              200MB / 267MB       0B / 0B             233
 103.48%             354.3MiB / 1.944GiB   17.80%              200MB / 267MB       0B / 0B             233
 110.41%             354.9MiB / 1.944GiB   17.83%              202MB / 269MB       0B / 0B             233
 110.41%             354.9MiB / 1.944GiB   17.83%              202MB / 269MB       0B / 0B             233
 103.25%             355.2MiB / 1.944GiB   17.84%              204MB / 271MB       0B / 0B             233
 103.25%             355.2MiB / 1.944GiB   17.84%              204MB / 271MB       0B / 0B             233
 103.79%             355.2MiB / 1.944GiB   17.84%              205MB / 274MB       0B / 0B             233
 103.79%             355.2MiB / 1.944GiB   17.84%              205MB / 274MB       0B / 0B             233
 102.76%             355.3MiB / 1.944GiB   17.85%              207MB / 276MB       0B / 0B             233
 102.76%             355.3MiB / 1.944GiB   17.85%              207MB / 276MB       0B / 0B             233
 97.57%              356MiB / 1.944GiB   17.89%              209MB / 278MB       0B / 0B             233
 97.57%              356MiB / 1.944GiB   17.89%              209MB / 278MB       0B / 0B             233
 102.54%             356.1MiB / 1.944GiB   17.89%              211MB / 281MB       0B / 0B             233
 102.54%             356.1MiB / 1.944GiB   17.89%              211MB / 281MB       0B / 0B             233
 102.83%             356.5MiB / 1.944GiB   17.91%              213MB / 283MB       0B / 0B             233
 102.83%             356.5MiB / 1.944GiB   17.91%              213MB / 283MB       0B / 0B             233
 94.25%              356.9MiB / 1.944GiB   17.93%              215MB / 286MB       0B / 0B             233
 94.25%              356.9MiB / 1.944GiB   17.93%              215MB / 286MB       0B / 0B             233
 102.37%             357.2MiB / 1.944GiB   17.95%              216MB / 288MB       0B / 0B             233
 102.37%             357.2MiB / 1.944GiB   17.95%              216MB / 288MB       0B / 0B             233
 102.96%             357.4MiB / 1.944GiB   17.96%              218MB / 291MB       0B / 0B             233
 102.96%             357.4MiB / 1.944GiB   17.96%              218MB / 291MB       0B / 0B             233
 101.73%             358MiB / 1.944GiB   17.99%              220MB / 293MB       0B / 0B             233
 101.73%             358MiB / 1.944GiB   17.99%              220MB / 293MB       0B / 0B             233
 102.10%             358.2MiB / 1.944GiB   18.00%              222MB / 295MB       0B / 0B             233
 102.10%             358.2MiB / 1.944GiB   18.00%              222MB / 295MB       0B / 0B             233
 103.49%             358.2MiB / 1.944GiB   18.00%              224MB / 298MB       0B / 0B             233
