CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
53.57%              335.9MiB / 1.944GiB   16.87%              252MB / 198MB       0B / 0B             230
53.57%              335.9MiB / 1.944GiB   16.87%              252MB / 198MB       0B / 0B             230
55.14%              336.5MiB / 1.944GiB   16.91%              254MB / 200MB       0B / 0B             230
55.14%              336.5MiB / 1.944GiB   16.91%              254MB / 200MB       0B / 0B             230
39.58%              336.9MiB / 1.944GiB   16.93%              256MB / 202MB       0B / 0B             230
39.58%              336.9MiB / 1.944GiB   16.93%              256MB / 202MB       0B / 0B             230
45.05%              337.2MiB / 1.944GiB   16.94%              258MB / 203MB       0B / 0B             230
45.05%              337.2MiB / 1.944GiB   16.94%              258MB / 203MB       0B / 0B             230
36.87%              337.3MiB / 1.944GiB   16.95%              260MB / 205MB       0B / 0B             230
36.87%              337.3MiB / 1.944GiB   16.95%              260MB / 205MB       0B / 0B             230
39.97%              337.8MiB / 1.944GiB   16.97%              262MB / 207MB       0B / 0B             230
39.97%              337.8MiB / 1.944GiB   16.97%              262MB / 207MB       0B / 0B             230
40.36%              338.1MiB / 1.944GiB   16.99%              265MB / 208MB       0B / 0B             230
40.36%              338.1MiB / 1.944GiB   16.99%              265MB / 208MB       0B / 0B             230
47.23%              338.6MiB / 1.944GiB   17.01%              267MB / 210MB       0B / 0B             230
47.23%              338.6MiB / 1.944GiB   17.01%              267MB / 210MB       0B / 0B             230
41.05%              338.9MiB / 1.944GiB   17.03%              269MB / 212MB       0B / 0B             230
41.05%              338.9MiB / 1.944GiB   17.03%              269MB / 212MB       0B / 0B             230
42.91%              339.1MiB / 1.944GiB   17.04%              271MB / 213MB       0B / 0B             230
42.91%              339.1MiB / 1.944GiB   17.04%              271MB / 213MB       0B / 0B             230
41.32%              339.5MiB / 1.944GiB   17.06%              273MB / 215MB       0B / 0B             230
41.32%              339.5MiB / 1.944GiB   17.06%              273MB / 215MB       0B / 0B             230
39.29%              339.9MiB / 1.944GiB   17.08%              275MB / 217MB       0B / 0B             230
39.29%              339.9MiB / 1.944GiB   17.08%              275MB / 217MB       0B / 0B             230
41.49%              340.2MiB / 1.944GiB   17.09%              277MB / 218MB       0B / 0B             230
41.49%              340.2MiB / 1.944GiB   17.09%              277MB / 218MB       0B / 0B             230
38.40%              340.6MiB / 1.944GiB   17.11%              279MB / 220MB       0B / 0B             230
38.40%              340.6MiB / 1.944GiB   17.11%              279MB / 220MB       0B / 0B             230
44.83%              341MiB / 1.944GiB   17.13%              281MB / 222MB       0B / 0B             230
44.83%              341MiB / 1.944GiB   17.13%              281MB / 222MB       0B / 0B             230
38.54%              340.9MiB / 1.944GiB   17.13%              283MB / 223MB       0B / 0B             230
38.54%              340.9MiB / 1.944GiB   17.13%              283MB / 223MB       0B / 0B             230
39.15%              341.1MiB / 1.944GiB   17.14%              285MB / 225MB       0B / 0B             230
39.15%              341.1MiB / 1.944GiB   17.14%              285MB / 225MB       0B / 0B             230
44.97%              341.5MiB / 1.944GiB   17.16%              288MB / 226MB       0B / 0B             230
44.97%              341.5MiB / 1.944GiB   17.16%              288MB / 226MB       0B / 0B             230
41.33%              341.9MiB / 1.944GiB   17.18%              290MB / 228MB       0B / 0B             230
41.33%              341.9MiB / 1.944GiB   17.18%              290MB / 228MB       0B / 0B             230
37.75%              342.2MiB / 1.944GiB   17.19%              292MB / 230MB       0B / 0B             230
